City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,mogocha,53.7333,119.7667,276.64,96,1,1.64,RU,1718735486
230,sorong,-0.8833,131.25,298.59,89,96,5.6,ID,1718735486
231,biltine,14.5333,20.9167,308.11,29,13,3.76,TD,1718735487
232,lihue,21.9789,-159.3672,296.92,85,100,6.69,US,1718735487
233,kone,-21.0595,164.8658,288.21,85,0,1.15,NC,1718735488
234,aginskoye,51.1,114.53,286.87,70,87,5.77,RU,1718735488
235,ulladulla,-35.35,150.4667,279.5,72,2,2.39,AU,1718735489
236,kingston,17.997,-76.7936,306.02,62,20,6.17,JM,1718735397
237,porto novo,6.4965,2.6036,302.05,81,18,3.14,BJ,1718735490
238,bodaybo,57.8506,114.1933,282.5,73,100,1.47,RU,1718735490
239,kachug,53.9606,105.8817,287.33,95,13,0.78,RU,1718735491
240,al ghayzah,16.2079,52.176,300.83,80,25,2.39,YE,1718735491
241,sept-iles,50.2001,-66.3821,300.15,53,20,7.2,CA,1718735492
242,hermanus,-34.4187,19.2345,287.48,89,100,5.34,ZA,1718735492
243,kharabali,47.4196,47.2568,298.86,65,33,5.21,RU,1718735493
244,astrea,9.4983,-73.9759,305.15,61,100,1.45,CO,1718735493
245,alofi,-19.0595,-169.9187,293.09,94,30,0.51,NU,1718735494
246,coronel dorrego,-38.7187,-61.2873,289.17,38,100,4.52,AR,1718735494
247,lata,40.1629,-8.3327,293.19,69,17,2.32,PT,1718735495
248,san pedro pochutla,15.7333,-96.4667,304.66,64,99,7.06,MX,1718735495
249,belaguntha,19.8833,84.65,301.81,75,100,1.37,IN,1718735496
250,nemuro,43.3236,145.575,285.49,99,100,4.13,JP,1718735496
251,kuta,-8.7233,115.1723,299.12,83,20,3.6,ID,1718735497
252,ermoupolis,37.4423,24.9425,302.54,37,0,8.23,GR,1718735497
253,jinjiang,24.8198,118.5741,300.38,94,100,0.99,CN,1718735497
254,badger,64.8,-147.5333,295.37,51,40,2.57,US,1718735498
255,bowen,-20.0167,148.2333,286.33,71,0,2.46,AU,1718735499
256,bilibino,68.0546,166.4372,292.63,46,93,0.96,RU,1718735499
257,launceston,-41.45,147.1667,274.95,93,8,1.54,AU,1718735500
258,la passe,45.5549,-0.8967,296.28,93,100,3.92,FR,1718735500
259,tucumcari,35.1717,-103.725,308.12,14,0,6.17,US,1718735501
260,novi vinodolski,45.1281,14.7889,300.57,54,0,0.0,HR,1718735501
261,tukrah,32.5341,20.5791,297.79,74,0,4.94,LY,1718735502
262,paramonga,-10.6667,-77.8333,293.37,74,30,4.51,PE,1718735503
263,anna regina,7.2644,-58.5077,301.89,69,3,3.52,GY,1718735503
264,petersburg,37.2279,-77.4019,306.68,52,75,2.06,US,1718735504
265,usinsk,65.9939,57.5281,278.41,75,0,7.4,RU,1718735504
266,tevriz,57.509,72.4042,282.57,73,1,1.88,RU,1718735505
267,klyuchi,52.2667,79.1667,287.19,75,0,3.7,RU,1718735505
268,portland,45.5234,-122.6762,292.13,56,75,3.09,US,1718735214
269,beau vallon,-20.4189,57.6953,296.28,73,20,5.66,MU,1718735507
270,mana,5.6592,-53.7767,301.2,77,18,4.06,GF,1718735507
271,torghay,49.6339,63.4981,296.42,41,67,5.9,KZ,1718735508
272,areia branca,-4.9561,-37.1369,305.26,69,44,5.61,BR,1718735508
273,cuito,-12.3833,16.9333,285.34,32,1,0.83,AO,1718735509
274,barreirinhas,-2.7469,-42.8264,302.41,65,42,3.94,BR,1718735509
275,xining,36.6167,101.7667,285.78,77,100,0.8,CN,1718735510
276,ola,59.5833,151.2833,281.86,89,100,2.04,RU,1718735510
277,miquelon,47.0975,-56.3814,287.15,87,98,6.77,PM,1718735511
278,raton,36.9034,-104.4391,300.49,14,0,2.57,US,1718735511
279,ancud,-41.8697,-73.8203,280.39,68,96,5.32,CL,1718735488
280,dan sadau,11.2962,6.4952,300.19,62,100,3.76,NG,1718735512
281,latehar,23.75,84.5,303.99,51,100,2.06,IN,1718735513
282,la sarre,48.8002,-79.1996,302.07,68,42,4.82,CA,1718735225
283,palompon,11.0508,124.3843,300.59,80,100,0.12,PH,1718735514
284,island harbour,50.724,-1.2758,293.19,71,98,2.24,GB,1718735514
285,saint-pierre,-21.3393,55.4781,292.97,83,75,3.09,RE,1718735515
286,kitimat,54.0524,-128.6534,289.36,76,99,3.13,CA,1718735414
287,nabire,-3.3667,135.4833,297.26,94,95,1.72,ID,1718735516
288,kruisfontein,-34.0033,24.7314,284.75,69,100,1.86,ZA,1718735516
289,digora,43.1581,44.1569,296.5,94,97,2.27,RU,1718735516
290,inongo,-1.95,18.2667,298.1,61,90,3.15,CD,1718735517
291,vanimo,-2.6741,141.3028,297.64,91,50,1.9,PG,1718735517
292,guerrero negro,27.9769,-114.0611,293.97,59,0,7.17,MX,1718735518
293,mafinga,-7.25,35.0667,294.27,49,0,1.23,TZ,1718735519
294,roma,43.2128,-75.4557,306.3,58,0,0.89,US,1718735194
295,nazyvayevsk,55.5698,71.3529,284.58,87,0,2.58,RU,1718735521
296,xilin hot,43.9667,116.0333,292.99,66,100,4.09,CN,1718735521
297,inhambane,-23.865,35.3833,293.14,88,0,1.54,MZ,1718735522
298,moa,20.6569,-74.9403,303.68,66,9,4.92,CU,1718735522
299,baiao,-2.7906,-49.6717,302.9,67,100,0.23,BR,1718735523
300,cadale,2.7603,46.3222,299.45,86,100,6.7,SO,1718735523
301,itoman,26.1247,127.6694,299.36,96,75,3.6,JP,1718735524
302,argo,37.6333,22.7333,303.03,37,0,2.3,GR,1718735524
303,muromtsevo,56.3724,75.2418,282.9,80,14,2.94,RU,1718735525
304,katsuren-haebaru,26.3369,127.8719,299.36,93,75,3.09,JP,1718735525
305,petauke,-14.2426,31.3253,289.08,45,0,1.93,ZM,1718735526
306,vadso,70.0744,29.7487,285.64,87,40,8.75,NO,1718735526
307,aldinga beach,-35.2793,138.4604,285.74,80,38,2.06,AU,1718735527
308,krasnogvardeyskoye,45.8456,41.5186,297.26,47,2,1.93,RU,1718735527
309,nizhyn,51.048,31.8869,292.67,78,6,2.95,UA,1718735528
310,igra,57.5558,53.0547,292.31,95,100,2.12,RU,1718735528
311,broken hill,-31.95,141.4333,281.68,46,0,3.21,AU,1718735528
312,port elizabeth,-33.918,25.5701,288.32,76,0,1.03,ZA,1718735529
313,cecina,43.3128,10.524,299.44,65,2,2.54,IT,1718735529
314,merizo village,13.2658,144.6691,301.0,92,33,5.27,GU,1718735530
315,minab,27.1467,57.0801,310.15,34,93,4.57,IR,1718735530
316,luwingu,-10.2621,29.9271,285.92,58,5,0.29,ZM,1718735531
317,chonchi,-42.6128,-73.8092,278.77,75,97,2.44,CL,1718735485
318,tvoroyri,61.5556,-6.8111,281.29,72,100,6.14,FO,1718735532
319,kingori,-3.2833,36.9833,294.64,64,20,4.12,TZ,1718735532
320,zhangjiakou shi xuanhua qu,40.6103,115.0447,297.26,51,100,1.94,CN,1718735533
321,mariehamn,60.0973,19.9348,289.07,72,0,3.09,AX,1718735396
322,yermentau,51.6214,73.1069,287.77,69,59,3.42,KZ,1718735534
323,uliastay,47.7417,96.8444,283.74,80,40,0.96,MN,1718735535
324,solnechnyy,50.7214,136.6319,279.05,94,100,1.03,RU,1718735535
325,chinju,35.1928,128.0847,293.05,69,100,1.26,KR,1718735536
326,sitka,57.0531,-135.33,286.09,71,75,0.0,US,1718735537
327,osorno,-40.5667,-73.15,281.32,87,100,3.09,CL,1718735527
328,hauterive,46.0901,3.4459,297.57,92,100,1.92,FR,1718735538
329,selkirk,50.1436,-96.8845,289.87,78,100,3.58,CA,1718735538
330,nyala,12.05,24.8833,306.13,32,32,3.68,SD,1718735538
331,hithadhoo,-0.6,73.0833,301.57,70,100,1.93,MV,1718735539
332,mednogorsk,51.4128,57.595,294.31,74,15,3.55,RU,1718735539
333,northam,51.0333,-4.2167,288.92,78,7,6.87,GB,1718735540
334,rio rico,31.4715,-110.9765,308.18,16,0,4.63,US,1718735522
335,anda,46.4,125.3167,291.72,67,1,4.99,CN,1718735541
336,yamada,39.4667,141.95,288.94,91,2,2.24,JP,1718735541
337,luganville,-15.5333,167.1667,297.3,91,58,1.89,VU,1718735542
338,durban,-29.8579,31.0292,293.65,68,0,1.38,ZA,1718735290
339,alvorada,-12.48,-49.1247,306.57,19,0,2.36,BR,1718735543
340,ixtapa,20.7,-105.2,299.94,78,100,2.06,MX,1718735543
341,eyl,7.9803,49.8164,299.77,83,91,10.28,SO,1718735544
342,acapulco de juarez,16.8634,-99.8901,304.05,66,75,5.66,MX,1718735275
343,new norfolk,-42.7826,147.0587,279.77,75,92,1.11,AU,1718735545
344,thinadhoo,0.5333,72.9333,301.65,72,94,3.34,MV,1718735546
